coverage_version,catalog_generation,token_bin,eligible_population_n,sample_n,locked_validation_n,poststrat_weight
SEMB03_SAMPLE_COVERAGE_0.2,1972,4-12,787,44,13,17.886364
SEMB03_SAMPLE_COVERAGE_0.2,1972,13-30,745,58,18,12.844828
SEMB03_SAMPLE_COVERAGE_0.2,1972,31-60,220,13,8,16.923077
SEMB03_SAMPLE_COVERAGE_0.2,1972,61-120,44,5,1,8.8
SEMB03_SAMPLE_COVERAGE_0.2,1972,>120,1,0,0,
SEMB03_SAMPLE_COVERAGE_0.2,1988,4-12,395,36,16,10.972222
SEMB03_SAMPLE_COVERAGE_0.2,1988,13-30,437,64,16,6.828125
SEMB03_SAMPLE_COVERAGE_0.2,1988,31-60,108,14,5,7.714286
SEMB03_SAMPLE_COVERAGE_0.2,1988,61-120,33,6,3,5.5
SEMB03_SAMPLE_COVERAGE_0.2,1988,>120,0,0,0,
SEMB03_SAMPLE_COVERAGE_0.2,1993,4-12,320,38,16,8.421053
SEMB03_SAMPLE_COVERAGE_0.2,1993,13-30,656,59,16,11.118644
SEMB03_SAMPLE_COVERAGE_0.2,1993,31-60,207,18,5,11.5
SEMB03_SAMPLE_COVERAGE_0.2,1993,61-120,74,5,3,14.8
SEMB03_SAMPLE_COVERAGE_0.2,1993,>120,0,0,0,
SEMB03_SAMPLE_COVERAGE_0.2,2014,4-12,400,44,17,9.090909
SEMB03_SAMPLE_COVERAGE_0.2,2014,13-30,466,64,22,7.28125
SEMB03_SAMPLE_COVERAGE_0.2,2014,31-60,118,11,1,10.727273
SEMB03_SAMPLE_COVERAGE_0.2,2014,61-120,26,1,0,26.0
SEMB03_SAMPLE_COVERAGE_0.2,2014,>120,0,0,0,
