page_id,catalog_generation,viewer_page,selected_psm,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,scanner_version
LTMD-CN5-G1972-VP001,1972,1,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP002,1972,2,3,1,0,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP003,1972,3,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP004,1972,4,3,1,0,0,0,2,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP005,1972,5,3,1,0,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP006,1972,6,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP007,1972,7,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP008,1972,8,6,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP009,1972,9,6,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP010,1972,10,6,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP011,1972,11,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP012,1972,12,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP013,1972,13,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP014,1972,14,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP015,1972,15,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP016,1972,16,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP243,1972,243,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP244,1972,244,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP245,1972,245,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP246,1972,246,6,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP247,1972,247,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP248,1972,248,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP249,1972,249,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP250,1972,250,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP251,1972,251,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP252,1972,252,11,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP253,1972,253,6,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP254,1972,254,3,0,1,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP255,1972,255,3,0,1,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1972-VP256,1972,256,6,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP257,1972,257,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1972-VP258,1972,258,3,0,1,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP001,1988,1,6,1,0,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP002,1988,2,3,1,0,0,0,4,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP003,1988,3,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP004,1988,4,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP005,1988,5,3,1,0,0,0,0,0,STRUCTKW_0.2
