audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,source_image_index,is_terminal_declared_slot,url,http_status,content_type,reachable_image,error
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,1,0,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/000.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,2,2,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/002.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,3,3,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/003.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,4,4,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/004.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,5,5,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/005.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,6,6,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/006.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,7,7,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/007.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,8,8,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/008.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,9,9,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/009.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,10,10,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/010.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,11,11,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/011.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,12,12,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/012.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,13,13,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/013.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,14,14,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/014.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,15,15,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/015.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,16,16,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/016.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,17,17,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/017.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,18,18,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/018.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,19,19,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/019.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,20,20,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/020.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,21,21,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/021.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,22,22,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/022.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,23,23,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/023.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,24,24,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/024.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,25,25,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/025.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,26,26,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/026.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,27,27,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/027.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,28,28,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/028.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,29,29,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/029.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,30,30,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/030.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,31,31,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/031.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,32,32,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/032.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,33,33,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/033.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,34,34,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/034.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,35,35,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/035.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,36,36,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/036.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,37,37,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/037.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,38,38,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/038.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,39,39,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/039.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,40,40,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/040.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,41,41,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/041.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,42,42,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/042.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,43,43,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/043.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,44,44,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/044.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,45,45,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/045.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,46,46,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/046.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,47,47,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/047.jpg,206,image/jpeg,1,
