audit_version,book_id,viewer_key,viewer_page,fact_type,ordinal,year,value,evidence_class
CN46_BIBSEQ_0.1,LTMD-CN4-G1972,H1972P4CI077,5,copyright,,1987,,explicit_rights
CN46_BIBSEQ_0.1,LTMD-CN4-G1988,H1988P4CI119,5,copyright,,1987,,explicit_rights
CN46_BIBSEQ_0.1,LTMD-CN6-G1988,H1988P6CI128,4,copyright,,1976,,explicit_rights
CN46_BIBSEQ_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,2,edition,1,1999,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,2,reprint,,2005,,explicit_reprint
CN46_BIBSEQ_0.1,LTMD-CN4-G2014,H2014P4CNA,2,copyright,,2014,,explicit_rights
CN46_BIBSEQ_0.1,LTMD-CN4-G2014,H2014P4CNA,2,edition,1,2010,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN4-G2014,H2014P4CNA,2,edition,2,2011,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN4-G2014,H2014P4CNA,2,edition,3,2014,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN4-G2014,H2014P4CNA,2,edition,4,2014,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN4-G2014,H2014P4CNA,2,edition_revised,,2014,,explicit_revised_edition
CN46_BIBSEQ_0.1,LTMD-CN6-G2014,H2014P6CNA,2,copyright,,2014,,explicit_rights
CN46_BIBSEQ_0.1,LTMD-CN6-G2014,H2014P6CNA,2,edition,1,2010,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN6-G2014,H2014P6CNA,2,edition,1,2019,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN6-G2014,H2014P6CNA,2,edition,2,2011,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN6-G2014,H2014P6CNA,2,edition,3,2014,,explicit_ordinal_edition
CN46_BIBSEQ_0.1,LTMD-CN6-G2014,H2014P6CNA,2,edition_revised,,2014,,explicit_revised_edition
