overlap_version,book_a,book_b,fragments_a,fragments_b,unique_text_hashes_a,unique_text_hashes_b,shared_text_hashes,share_unique_a,share_unique_b
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1988,1455,1496,1437,1469,1351,0.940153,0.919673
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1993,1455,2408,1437,2262,16,0.011134,0.007073
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G2014,1455,2385,1437,2182,26,0.018093,0.011916
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1972,1455,1462,1437,1417,41,0.028532,0.028934
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1988,1455,1493,1437,1457,27,0.018789,0.018531
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1993-CN,1455,1486,1437,1438,11,0.007655,0.007650
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1993-DH,1455,3492,1437,3376,28,0.019485,0.008294
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G2014,1455,3390,1437,3139,30,0.020877,0.009557
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN4-G1993,1496,2408,1469,2262,16,0.010892,0.007073
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN4-G2014,1496,2385,1469,2182,26,0.017699,0.011916
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1972,1496,1462,1469,1417,41,0.027910,0.028934
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1988,1496,1493,1469,1457,29,0.019741,0.019904
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1993-CN,1496,1486,1469,1438,12,0.008169,0.008345
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1993-DH,1496,3492,1469,3376,29,0.019741,0.008590
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G2014,1496,3390,1469,3139,30,0.020422,0.009557
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN4-G2014,2408,2385,2262,2182,31,0.013705,0.014207
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1972,2408,1462,2262,1417,26,0.011494,0.018349
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1988,2408,1493,2262,1457,25,0.011052,0.017159
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1993-CN,2408,1486,2262,1438,14,0.006189,0.009736
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1993-DH,2408,3492,2262,3376,25,0.011052,0.007405
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G2014,2408,3390,2262,3139,27,0.011936,0.008601
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1972,2385,1462,2182,1417,37,0.016957,0.026112
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1988,2385,1493,2182,1457,33,0.015124,0.022649
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1993-CN,2385,1486,2182,1438,17,0.007791,0.011822
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1993-DH,2385,3492,2182,3376,27,0.012374,0.007998
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G2014,2385,3390,2182,3139,131,0.060037,0.041733
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G1988,1462,1493,1417,1457,64,0.045166,0.043926
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G1993-CN,1462,1486,1417,1438,28,0.019760,0.019471
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G1993-DH,1462,3492,1417,3376,30,0.021171,0.008886
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G2014,1462,3390,1417,3139,47,0.033169,0.014973
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1988,LTMD-CN6-G1993-CN,1493,1486,1457,1438,173,0.118737,0.120306
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1988,LTMD-CN6-G1993-DH,1493,3492,1457,3376,33,0.022649,0.009775
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1988,LTMD-CN6-G2014,1493,3390,1457,3139,47,0.032258,0.014973
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1993-CN,LTMD-CN6-G1993-DH,1486,3492,1438,3376,23,0.015994,0.006813
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1993-CN,LTMD-CN6-G2014,1486,3390,1438,3139,18,0.012517,0.005734
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN6-G1993-DH,LTMD-CN6-G2014,3492,3390,3376,3139,35,0.010367,0.011150
