overlap_version,book_a,book_b,pages_a,pages_b,exact_shared_hashes,share_of_a,share_of_b,common_viewer_positions,aligned_exact_matches,aligned_match_rate
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1988,214,214,188,0.878505,0.878505,214,188,0.878505
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1993,214,178,0,0.000000,0.000000,178,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G2014,214,161,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1972,214,210,0,0.000000,0.000000,210,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1988,214,242,0,0.000000,0.000000,214,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1993-CN,214,242,0,0.000000,0.000000,214,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G1993-DH,214,250,0,0.000000,0.000000,214,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN6-G2014,214,177,0,0.000000,0.000000,177,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN4-G1993,214,178,0,0.000000,0.000000,178,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN4-G2014,214,161,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1972,214,210,0,0.000000,0.000000,210,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1988,214,242,0,0.000000,0.000000,214,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1993-CN,214,242,0,0.000000,0.000000,214,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G1993-DH,214,250,0,0.000000,0.000000,214,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1988,LTMD-CN6-G2014,214,177,0,0.000000,0.000000,177,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN4-G2014,178,161,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1972,178,210,0,0.000000,0.000000,178,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1988,178,242,0,0.000000,0.000000,178,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1993-CN,178,242,0,0.000000,0.000000,178,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G1993-DH,178,250,0,0.000000,0.000000,178,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G1993,LTMD-CN6-G2014,178,177,0,0.000000,0.000000,177,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1972,161,210,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1988,161,242,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1993-CN,161,242,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G1993-DH,161,250,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN4-G2014,LTMD-CN6-G2014,161,177,0,0.000000,0.000000,161,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G1988,210,242,0,0.000000,0.000000,210,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G1993-CN,210,242,0,0.000000,0.000000,210,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G1993-DH,210,250,0,0.000000,0.000000,210,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1972,LTMD-CN6-G2014,210,177,0,0.000000,0.000000,177,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1988,LTMD-CN6-G1993-CN,242,242,0,0.000000,0.000000,242,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1988,LTMD-CN6-G1993-DH,242,250,0,0.000000,0.000000,242,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1988,LTMD-CN6-G2014,242,177,0,0.000000,0.000000,177,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1993-CN,LTMD-CN6-G1993-DH,242,250,0,0.000000,0.000000,242,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1993-CN,LTMD-CN6-G2014,242,177,0,0.000000,0.000000,177,0,0.000000
CN46_EXACT_OVERLAP_0.1,LTMD-CN6-G1993-DH,LTMD-CN6-G2014,250,177,0,0.000000,0.000000,177,0,0.000000
