audit_version,page_id,observed_sequences,missing_sequence_slots
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1972-VP037,1;2;3;5;6;7;8,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1972-VP060,1;2;3;4;5;6;7;8;10;11;12,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1972-VP210,1;2;3;4;5;6;7;9,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1988-VP037,1;2;3;5;6;7;8,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1988-VP060,1;2;3;4;5;6;7;8;10;11;12,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1988-VP205,1;2;3;4;5;7;8;9;10,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1988-VP210,1;2;3;4;5;6;7;9,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1993-VP118,1;2;3;4;6;7;8;9;10;11;12;13;14,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1993-VP122,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G1993-VP169,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G2014-VP035,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G2014-VP048,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G2014-VP051,1;2;3;4;5;6;7;8;9;10;11;13;14;15;16;17;18;19,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G2014-VP080,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN4-G2014-VP103,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1972-VP017,1;2;3;5;6;8;10;12;13;14,4
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1972-VP069,1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1972-VP078,1;2;5;6;7;8;9,2
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1972-VP149,1;2;3;5;6;7;9;10;11;12,2
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1972-VP164,1;2;3;5;6;7,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1988-VP118,1;2;3;5,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1988-VP163,1;2;3;4;5;6;7;8;9;11,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-CN-VP186,1;2;3;4;5;6;8;9,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP020,1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP122,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP155,1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19;20,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP172,1;2;3;4;5;6;7;8;9;10;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,2
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP179,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP199,1;2;3;4;5;6;7;8;9;10;12;13,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP207,1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP238,1;2;3;5;6;7;8;9;10;11,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G1993-DH-VP245,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G2014-VP063,1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1
FRAGSEG_CN46_SEQ_AUDIT_0.1,LTMD-CN6-G2014-VP086,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16,1
