audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,ocr_ok,ocr_char_count,edition_term,copyright_term,printing_term,isbn_term,edition_year_candidates,copyright_year_candidates,printing_year_candidates,isbn_candidates,all_years_detected
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,1,1,30,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,2,1,327,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,3,1,31,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,4,1,762,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,5,1,1095,1,1,0,1,,1987,,,1987
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,6,1,1790,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,7,1,842,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,8,1,355,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,1,1,72,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,2,1,73,0,0,0,0,,,,,1974
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,3,1,68,0,0,0,0,,,,,1974
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,4,1,1752,1,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,5,1,797,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,6,1,2202,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,7,1,385,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1972,H1972P6CI090,1972,6,8,1,580,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,1,1,172,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,2,1,396,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,3,1,31,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,4,1,813,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,5,1,1131,1,1,0,1,,1987,,,1987
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,6,1,1790,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,7,1,842,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,8,1,355,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,1,1,33,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,2,1,353,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,3,1,74,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,4,1,1229,0,1,0,0,,1976,,,1976
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,5,1,827,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,6,1,2068,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,7,1,495,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,8,1,399,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,1,1,31,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,2,1,2541,1,0,1,1,1907;1997;1998;1999,,1997;1998;1999,968-29-9952-9,1907;1997;1998;1999
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,3,1,3674,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,4,1,1279,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,5,1,841,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,6,1,171,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,7,1,268,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,8,1,1672,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,1,1,135,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,2,1,2751,1,0,1,0,1974;1990;1999;2000;2002;2005;2006;2007,,1909;1999;2002;2005;2006;2007,,1909;1947;1974;1990;1999;2000;2002;2005;2006;2007
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,3,1,4727,0,0,0,0,,,,,1993;1995
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,4,1,1185,0,0,0,0,,,,,
