ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
CN46_OCR_0.1,LTMD-CN4-G1972-VP001,LTMD-CN4-G1972,1972,4,1,source_jpeg,173203,1,psm3:ok:0;psm11:ok:1;psm6:ok:13,6,13,18,43.25,30.87,0.6923,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP002,LTMD-CN4-G1972,1972,4,2,source_jpeg,16848,1,psm3:ok:0;psm11:ok:83;psm6:ok:83,11,83,5137,25.35,26.27,0.9639,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP003,LTMD-CN4-G1972,1972,4,3,source_jpeg,20976,1,psm3:ok:4,3,4,28,96.59,96.55,0.0000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP004,LTMD-CN4-G1972,1972,4,4,source_jpeg,40126,1,psm3:ok:128,3,128,635,93.20,96.10,0.0234,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP005,LTMD-CN4-G1972,1972,4,5,source_jpeg,41365,1,psm3:ok:163,3,163,933,89.56,94.51,0.0368,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP006,LTMD-CN4-G1972,1972,4,6,source_jpeg,73121,1,psm3:ok:308,3,308,1483,94.56,96.50,0.0032,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP007,LTMD-CN4-G1972,1972,4,7,source_jpeg,40884,1,psm3:ok:118,3,118,472,75.22,90.26,0.2034,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP008,LTMD-CN4-G1972,1972,4,8,source_jpeg,21038,1,psm3:ok:0;psm11:ok:75;psm6:ok:132,6,132,350,24.62,25.41,0.9394,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP009,LTMD-CN4-G1972,1972,4,9,source_jpeg,36375,1,psm3:ok:5,3,5,24,80.71,96.62,0.2000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP010,LTMD-CN4-G1972,1972,4,10,source_jpeg,55987,1,psm3:ok:155,3,155,749,90.79,95.26,0.0323,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP011,LTMD-CN4-G1972,1972,4,11,source_jpeg,46925,1,psm3:ok:0;psm11:ok:4;psm6:ok:22,6,22,36,34.57,34.01,0.8636,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP012,LTMD-CN4-G1972,1972,4,12,source_jpeg,41906,1,psm3:ok:67,3,67,292,66.30,78.14,0.3284,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP013,LTMD-CN4-G1972,1972,4,13,source_jpeg,60117,1,psm3:ok:224,3,224,1010,90.18,94.68,0.0446,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP014,LTMD-CN4-G1972,1972,4,14,source_jpeg,50360,1,psm3:ok:102,3,102,447,86.17,96.15,0.1373,text_detected,ok,
