manifest_version,page_id,book_id,catalog_generation,grade,viewer_key,viewer_page,source_image_index,source_filename,source_asset_url,asset_status,http_status,content_type,byte_size,sha256,fetch_attempts,position_ratio,position_quartile,page_type_status,error
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP001,LTMD-CN4-G1972,1972,4,H1972P4CI077,1,0,000.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/000.jpg,source_jpeg,200,image/jpeg,173203,bf521c8c77407f54c9ad3d4e335e124574be4ea73b6ac41f560501896ec4983c,1,0.004651,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP002,LTMD-CN4-G1972,1972,4,H1972P4CI077,2,2,002.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/002.jpg,source_jpeg,200,image/jpeg,16848,009f6618b2807a0a70497cbe294e0ed63d8b368661897d32ce59322b809a255a,1,0.009302,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP003,LTMD-CN4-G1972,1972,4,H1972P4CI077,3,3,003.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/003.jpg,source_jpeg,200,image/jpeg,20976,6a05010770942dba94a7ab35f9f0e6896976299359247989ac6e2e3e024d3157,1,0.013953,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP004,LTMD-CN4-G1972,1972,4,H1972P4CI077,4,4,004.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/004.jpg,source_jpeg,200,image/jpeg,40126,e262cd1c011aa5033246227b7aec90e260748623b95a40b6c811d572d8883f25,1,0.018605,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP005,LTMD-CN4-G1972,1972,4,H1972P4CI077,5,5,005.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/005.jpg,source_jpeg,200,image/jpeg,41365,c1a7e0c3a7b5516b14086077ddf0065daee8dbfe7be2b2344d0427c9d23b22cb,1,0.023256,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP006,LTMD-CN4-G1972,1972,4,H1972P4CI077,6,6,006.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/006.jpg,source_jpeg,200,image/jpeg,73121,72f68c30c355bae8e00e03e15e60e6618a420a8842c11bc377d25eed5e94ccb7,1,0.027907,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP007,LTMD-CN4-G1972,1972,4,H1972P4CI077,7,7,007.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/007.jpg,source_jpeg,200,image/jpeg,40884,71d713d45350e779c3c888a8dbc62f218464aac6372ff8c231a4e85e59680bf2,1,0.032558,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP008,LTMD-CN4-G1972,1972,4,H1972P4CI077,8,8,008.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/008.jpg,source_jpeg,200,image/jpeg,21038,6be3b204536ee5be14e4d63cd2422701cf81b807046a72142d980910b517da5b,1,0.037209,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP009,LTMD-CN4-G1972,1972,4,H1972P4CI077,9,9,009.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/009.jpg,source_jpeg,200,image/jpeg,36375,ac405c9e072c04497640fc515d9053dbce8fbe52917730c8d69589a315d23ed7,1,0.041860,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP010,LTMD-CN4-G1972,1972,4,H1972P4CI077,10,10,010.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/010.jpg,source_jpeg,200,image/jpeg,55987,605e3ecfdc15ef19e8bb0f9d5e1f6963392072ecc876d38590f93c30d118efd3,1,0.046512,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP011,LTMD-CN4-G1972,1972,4,H1972P4CI077,11,11,011.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/011.jpg,source_jpeg,200,image/jpeg,46925,73018003575a777a93a0553c6b244603d3202112432fc4be25f02f5b84a61708,1,0.051163,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP012,LTMD-CN4-G1972,1972,4,H1972P4CI077,12,12,012.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/012.jpg,source_jpeg,200,image/jpeg,41906,619debab556418f9af3c8b5239531827a8fcbaac5c7e1fdf7e859d9dd5f7afb9,1,0.055814,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP013,LTMD-CN4-G1972,1972,4,H1972P4CI077,13,13,013.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/013.jpg,source_jpeg,200,image/jpeg,60117,03a6d665d98d4fe0e57125b207ad07475b85229ad081b2b7d8e1caf5a8426502,1,0.060465,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP014,LTMD-CN4-G1972,1972,4,H1972P4CI077,14,14,014.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/014.jpg,source_jpeg,200,image/jpeg,50360,ca76099b5ed0418b7c4fdeba3b771855803724c33e283c10aa2904af7993461b,1,0.065116,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP015,LTMD-CN4-G1972,1972,4,H1972P4CI077,15,15,015.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/015.jpg,source_jpeg,200,image/jpeg,49777,9e14f2fca888d7621ecbfe4cb2801960bece2bc846d4e597917fc47742cfd33b,1,0.069767,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP016,LTMD-CN4-G1972,1972,4,H1972P4CI077,16,16,016.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/016.jpg,source_jpeg,200,image/jpeg,43363,a34e94761b9dfc4eec6f69c84f32075e4d459b919aa5d6e2b124f79a7192d87a,1,0.074419,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP017,LTMD-CN4-G1972,1972,4,H1972P4CI077,17,17,017.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/017.jpg,source_jpeg,200,image/jpeg,44557,24c3021c13cf6599f91bf7fad9e6d9126ca10013bc22905c578a99ea98c76b79,1,0.079070,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP018,LTMD-CN4-G1972,1972,4,H1972P4CI077,18,18,018.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/018.jpg,source_jpeg,200,image/jpeg,57023,f19687af0edf8e78a596b0d3bfbb6370b496dd9f4b57eaf8f5c344124d9b21de,1,0.083721,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP019,LTMD-CN4-G1972,1972,4,H1972P4CI077,19,19,019.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/019.jpg,source_jpeg,200,image/jpeg,38927,f60a328a90aad3d153c3ef79b453169105d7c4608b42a95d3321853b47687b60,1,0.088372,Q1,unclassified,
