page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN4-G1972-VP001,LTMD-CN4-G1972,1972,4,1,6,13,43.25,0.6923,text_detected,0,0,0,visual_only,medium,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP002,LTMD-CN4-G1972,1972,4,2,11,83,25.35,0.9639,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP003,LTMD-CN4-G1972,1972,4,3,3,4,96.59,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP004,LTMD-CN4-G1972,1972,4,4,3,128,93.20,0.0234,text_detected,0,1,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,front_zone;text_rich;nav_kw;biblio_credit_kw,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP005,LTMD-CN4-G1972,1972,4,5,3,163,89.56,0.0368,text_detected,0,1,4,bibliography_or_credits,high,KW_BIBLIO_CREDITS,front_zone;text_rich;nav_kw;biblio_credit_kw,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP006,LTMD-CN4-G1972,1972,4,6,3,308,94.56,0.0032,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP007,LTMD-CN4-G1972,1972,4,7,3,118,75.22,0.2034,text_detected,0,1,0,toc_or_navigation,medium,KW_NAVIGATION,front_zone;text_present;nav_kw,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP008,LTMD-CN4-G1972,1972,4,8,6,132,24.62,0.9394,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP009,LTMD-CN4-G1972,1972,4,9,3,5,80.71,0.2000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP010,LTMD-CN4-G1972,1972,4,10,3,155,90.79,0.0323,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP011,LTMD-CN4-G1972,1972,4,11,6,22,34.57,0.8636,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP012,LTMD-CN4-G1972,1972,4,12,3,67,66.30,0.3284,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP013,LTMD-CN4-G1972,1972,4,13,3,224,90.18,0.0446,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP014,LTMD-CN4-G1972,1972,4,14,3,102,86.17,0.1373,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP015,LTMD-CN4-G1972,1972,4,15,3,71,91.43,0.0141,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP016,LTMD-CN4-G1972,1972,4,16,3,102,89.84,0.0588,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP017,LTMD-CN4-G1972,1972,4,17,3,95,93.20,0.0105,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP018,LTMD-CN4-G1972,1972,4,18,3,228,89.33,0.0746,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP019,LTMD-CN4-G1972,1972,4,19,3,3,94.59,0.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP020,LTMD-CN4-G1972,1972,4,20,3,142,90.03,0.0704,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP021,LTMD-CN4-G1972,1972,4,21,3,147,85.49,0.1156,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP022,LTMD-CN4-G1972,1972,4,22,3,75,91.70,0.0400,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP023,LTMD-CN4-G1972,1972,4,23,3,75,91.53,0.0400,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP024,LTMD-CN4-G1972,1972,4,24,3,98,93.29,0.0408,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP025,LTMD-CN4-G1972,1972,4,25,3,19,87.97,0.0526,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP026,LTMD-CN4-G1972,1972,4,26,3,40,92.43,0.0250,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP027,LTMD-CN4-G1972,1972,4,27,3,5,63.04,0.4000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP028,LTMD-CN4-G1972,1972,4,28,3,41,87.59,0.0976,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP029,LTMD-CN4-G1972,1972,4,29,3,45,90.97,0.0667,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP030,LTMD-CN4-G1972,1972,4,30,3,178,88.82,0.0562,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP031,LTMD-CN4-G1972,1972,4,31,3,155,86.77,0.1032,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP032,LTMD-CN4-G1972,1972,4,32,3,103,92.48,0.0291,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
