book_id,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
LTMD-CN4-G1972,214,45,143,13,0,1,2,10
LTMD-CN4-G1988,214,47,140,10,0,1,3,13
LTMD-CN4-G1993,178,126,19,15,0,10,2,6
LTMD-CN4-G2014,161,99,30,9,0,12,7,4
LTMD-CN6-G1972,210,76,69,40,1,2,2,20
LTMD-CN6-G1988,242,76,116,28,1,0,4,17
LTMD-CN6-G1993-CN,242,82,107,31,0,0,2,20
LTMD-CN6-G1993-DH,250,202,28,2,0,4,2,12
LTMD-CN6-G2014,177,124,30,5,0,6,6,6
ALL,1888,877,682,153,2,36,30,108
