scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP001,LTMD-CN4-G1972,1972,4,1,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP002,LTMD-CN4-G1972,1972,4,2,11,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP003,LTMD-CN4-G1972,1972,4,3,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP004,LTMD-CN4-G1972,1972,4,4,3,1,1,0,0,1,1,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP005,LTMD-CN4-G1972,1972,4,5,3,1,1,0,0,1,4,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP006,LTMD-CN4-G1972,1972,4,6,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP007,LTMD-CN4-G1972,1972,4,7,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP008,LTMD-CN4-G1972,1972,4,8,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP009,LTMD-CN4-G1972,1972,4,9,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP010,LTMD-CN4-G1972,1972,4,10,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP011,LTMD-CN4-G1972,1972,4,11,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP012,LTMD-CN4-G1972,1972,4,12,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP013,LTMD-CN4-G1972,1972,4,13,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP014,LTMD-CN4-G1972,1972,4,14,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP015,LTMD-CN4-G1972,1972,4,15,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP016,LTMD-CN4-G1972,1972,4,16,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP199,LTMD-CN4-G1972,1972,4,199,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP200,LTMD-CN4-G1972,1972,4,200,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP201,LTMD-CN4-G1972,1972,4,201,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP202,LTMD-CN4-G1972,1972,4,202,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP203,LTMD-CN4-G1972,1972,4,203,6,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP204,LTMD-CN4-G1972,1972,4,204,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP205,LTMD-CN4-G1972,1972,4,205,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP206,LTMD-CN4-G1972,1972,4,206,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP207,LTMD-CN4-G1972,1972,4,207,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP208,LTMD-CN4-G1972,1972,4,208,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP209,LTMD-CN4-G1972,1972,4,209,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP210,LTMD-CN4-G1972,1972,4,210,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP211,LTMD-CN4-G1972,1972,4,211,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP212,LTMD-CN4-G1972,1972,4,212,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP213,LTMD-CN4-G1972,1972,4,213,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1972-VP214,LTMD-CN4-G1972,1972,4,214,11,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP001,LTMD-CN4-G1988,1988,4,1,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP002,LTMD-CN4-G1988,1988,4,2,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP003,LTMD-CN4-G1988,1988,4,3,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP004,LTMD-CN4-G1988,1988,4,4,3,1,1,0,0,1,1,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP005,LTMD-CN4-G1988,1988,4,5,3,1,1,0,0,1,4,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP006,LTMD-CN4-G1988,1988,4,6,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP007,LTMD-CN4-G1988,1988,4,7,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP008,LTMD-CN4-G1988,1988,4,8,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP009,LTMD-CN4-G1988,1988,4,9,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP010,LTMD-CN4-G1988,1988,4,10,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP011,LTMD-CN4-G1988,1988,4,11,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP012,LTMD-CN4-G1988,1988,4,12,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP013,LTMD-CN4-G1988,1988,4,13,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP014,LTMD-CN4-G1988,1988,4,14,3,1,1,0,0,0,0,0,
