view_version,book_id,fragment_occurrences,unique_text_units,duplicate_occurrences_within_view,cross_book_reused_unique_units,unique_unit_ratio
CN46_UNIQUE_CONTENT_0.1,LTMD-CN4-G1972,1455,1437,18,1353,0.987629
CN46_UNIQUE_CONTENT_0.1,LTMD-CN4-G1988,1496,1469,27,1356,0.981952
CN46_UNIQUE_CONTENT_0.1,LTMD-CN4-G1993,2408,2262,146,55,0.939369
CN46_UNIQUE_CONTENT_0.1,LTMD-CN4-G2014,2385,2182,203,166,0.914885
CN46_UNIQUE_CONTENT_0.1,LTMD-CN6-G1972,1462,1417,45,123,0.969220
CN46_UNIQUE_CONTENT_0.1,LTMD-CN6-G1988,1493,1457,36,249,0.975887
CN46_UNIQUE_CONTENT_0.1,LTMD-CN6-G1993-CN,1486,1438,48,191,0.967699
CN46_UNIQUE_CONTENT_0.1,LTMD-CN6-G1993-DH,3492,3376,116,77,0.966781
CN46_UNIQUE_CONTENT_0.1,LTMD-CN6-G2014,3390,3139,251,183,0.925959
CN46_UNIQUE_CONTENT_0.1,ALL,19067,16155,2912,1731,0.847275
