view_version,content_unit_id,text_sha256,occurrence_count,book_count,page_count,books,candidate_type_variants,cross_book_reuse,within_book_repeat
CN46_UNIQUE_CONTENT_0.1,CNU-407C63380BF620B4EF5B,0000e3bf100c73b2dae75c48e80f5d9ab2055668f9a9dc251bcc9935440ffc96,1,1,1,LTMD-CN6-G1993-DH,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-7D1B86E6449DF3086667,000381619293bf31330afba8dc05a8c7300a5ed54f10aef187f7897f1f1aad2c,1,1,1,LTMD-CN4-G1993,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-87231A0435EB861E5285,000cd02874b1a6c446e3a01f923349e405f6165f4cf7f11482389f6f9f934702,1,1,1,LTMD-CN6-G1988,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1CEF73F3E54FBC67D98D,001594e926a385d0f0a413c0da60773444f258aa9052d35895bc51ac5a1b1417,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-516F891F3C09740FC1AB,0015f6dfaff02c52be7e4bf723ae78b54e39d81fc2cd6e1d4820fb374270965e,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A7853836383147A3E243,0016619502ee2cae1b04c39f8369fad61e3cf9a90657cf63647930442e3c87b2,1,1,1,LTMD-CN6-G1988,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A97C898CE37DF0DF5D17,0016a34b25bb8d185fd1eeb9f0136f6e4efe6597c3dd8efaf1b01d5b483e4126,1,1,1,LTMD-CN6-G1993-CN,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-2486E84C09B24955AA46,001f5143837f11d861f33ef695376e267836e33dc07a1e68633c151c048d6f85,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-BA2784447176C1BCE33F,001fc4b9a9e5d01b9654eb05ce022ea0e8385223bbabb1436c5393671b40fb38,1,1,1,LTMD-CN6-G1972,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-B4D479972A35B65ECF05,0021876f2a862c91ca4e68209e750b78eae54015c31dea0d0a64cdc8ae378f39,1,1,1,LTMD-CN6-G1993-DH,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1209C4D972BD64627C4C,00228f45170be3bd20365d1e08490a678bf3a55a71c08b8a015726ba9ef9671f,1,1,1,LTMD-CN4-G2014,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-76569CA460EEAA6BFA5D,00298cca7c293782b0d981ae749ef2c10be5cbb2e5442e9213e07a6451d608c7,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-83D061841A7F03659DB0,002bf7e51846932b92f9c8e17012d9730ff0f436b81f113e050e949775f87eb2,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-76F137D0D0EBC89442F5,00303736b483ead2c1134870d76708f4277f9070b4dad8061a8fb99726ab66ae,1,1,1,LTMD-CN6-G2014,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-D436A511794BE04CC38B,0030dd8e9e259d23a0554a03d3c457abd3a8de0059779a69936fdc3822cdf5f5,1,1,1,LTMD-CN6-G1993-CN,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-B8F715033A0475C00376,003260647d76e578f6f17d04405ed2cf5fcbc98ea91487e6b372585b42dfa128,1,1,1,LTMD-CN4-G2014,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-0C2D6CF6D3B46A475254,0034ccb7d2cbcb13329b73de46c328774f0a01c0f4c65d9a500184a73e921305,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-020E1E6FDEE259815AA8,0035bda0f45f3063b0d8d9c128b11c3147ea905688a3ba71fa6fa40cdd6ed5ca,1,1,1,LTMD-CN4-G1993,short_residual_candidate,0,0
