discovery_version,catalog_generation,grade,subject_or_field,viewer_key,source_url,http_status,final_url,content_type,viewer_title,title_science_match,verification_status,catalog_evidence,error
CN46_DISCOVERY_0.1,1972,4,Ciencias Naturales,H1972P4CI077,https://historico.conaliteg.gob.mx/H1972P4CI077.htm,200,https://historico.conaliteg.gob.mx/H1972P4CI077.htm,text/html,CIENCIAS NATURALES Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,verified_title,"OL RECORTABLE"",""H1972P1ES062"",1972,1], [""MATEMATICAS"",""H1972P1MA063"",1972,1], [""CIENCIAS NATURALES"",""H1972P2CI064"",1972,2], [""CIENCIAS SOCIALES"",""H1972P2CI065"",1972,2], [""ESPAÑOL"",""H1972P2ES066"",1972,2], [""ESPAÑOL EJERCICIOS"",""H1972P2ES067"",1972,2], [""ESPAÑOL LECTURA"",""H1972P2ES068"",1972,2], [""MATEMÁTICAS"",""H1972P2MA069"",1972,2], [""CIENCIAS NATURALES"",""H1972P3CI070"",1972,3], [""CIENCIAS NATURALES-CIENCIAS SOCIALES"",""H1972P3CI071"",1972,3], [""CIENCIAS SOCIALES"",""H1972P3CI072"",1972,3], [""ESPAÑOL"",""H",
CN46_DISCOVERY_0.1,1972,4,Ciencias Naturales,H1972P4CI078,https://historico.conaliteg.gob.mx/H1972P4CI078.htm,200,https://historico.conaliteg.gob.mx/H1972P4CI078.htm,text/html,CIENCIAS SOCIALES Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"MATICAS"",""H1972P1MA063"",1972,1], [""CIENCIAS NATURALES"",""H1972P2CI064"",1972,2], [""CIENCIAS SOCIALES"",""H1972P2CI065"",1972,2], [""ESPAÑOL"",""H1972P2ES066"",1972,2], [""ESPAÑOL EJERCICIOS"",""H1972P2ES067"",1972,2], [""ESPAÑOL LECTURA"",""H1972P2ES068"",1972,2], [""MATEMÁTICAS"",""H1972P2MA069"",1972,2], [""CIENCIAS NATURALES"",""H1972P3CI070"",1972,3], [""CIENCIAS NATURALES-CIENCIAS SOCIALES"",""H1972P3CI071"",1972,3], [""CIENCIAS SOCIALES"",""H1972P3CI072"",1972,3], [""ESPAÑOL"",""H1972P3ES073"",1972,3], [""ESPAÑOL LECTURAS"",""H1",
CN46_DISCOVERY_0.1,1972,4,Ciencias Naturales,H1972P4ES080,https://historico.conaliteg.gob.mx/H1972P4ES080.htm,200,https://historico.conaliteg.gob.mx/H1972P4ES080.htm,text/html,ESPAÑOL EJERCICIOS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"TURALES"",""H1972P2CI064"",1972,2], [""CIENCIAS SOCIALES"",""H1972P2CI065"",1972,2], [""ESPAÑOL"",""H1972P2ES066"",1972,2], [""ESPAÑOL EJERCICIOS"",""H1972P2ES067"",1972,2], [""ESPAÑOL LECTURA"",""H1972P2ES068"",1972,2], [""MATEMÁTICAS"",""H1972P2MA069"",1972,2], [""CIENCIAS NATURALES"",""H1972P3CI070"",1972,3], [""CIENCIAS NATURALES-CIENCIAS SOCIALES"",""H1972P3CI071"",1972,3], [""CIENCIAS SOCIALES"",""H1972P3CI072"",1972,3], [""ESPAÑOL"",""H1972P3ES073"",1972,3], [""ESPAÑOL LECTURAS"",""H1972P3ES074"",1972,3], [""ESPAÑOL EJERCICIOS Y LE",
CN46_DISCOVERY_0.1,1972,4,Ciencias Naturales,H1972P4ES081,https://historico.conaliteg.gob.mx/H1972P4ES081.htm,200,https://historico.conaliteg.gob.mx/H1972P4ES081.htm,text/html,ESPAÑOL LECTURAS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"SOCIALES"",""H1972P2CI065"",1972,2], [""ESPAÑOL"",""H1972P2ES066"",1972,2], [""ESPAÑOL EJERCICIOS"",""H1972P2ES067"",1972,2], [""ESPAÑOL LECTURA"",""H1972P2ES068"",1972,2], [""MATEMÁTICAS"",""H1972P2MA069"",1972,2], [""CIENCIAS NATURALES"",""H1972P3CI070"",1972,3], [""CIENCIAS NATURALES-CIENCIAS SOCIALES"",""H1972P3CI071"",1972,3], [""CIENCIAS SOCIALES"",""H1972P3CI072"",1972,3], [""ESPAÑOL"",""H1972P3ES073"",1972,3], [""ESPAÑOL LECTURAS"",""H1972P3ES074"",1972,3], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P3ES075"",1972,3], [""MATEMÁTICA",
CN46_DISCOVERY_0.1,1972,4,Ciencias Naturales,H1972P4ES082,https://historico.conaliteg.gob.mx/H1972P4ES082.htm,200,https://historico.conaliteg.gob.mx/H1972P4ES082.htm,text/html,ESPAÑOL EJERCICIOS Y LECTURAS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"6"",1972,2], [""ESPAÑOL EJERCICIOS"",""H1972P2ES067"",1972,2], [""ESPAÑOL LECTURA"",""H1972P2ES068"",1972,2], [""MATEMÁTICAS"",""H1972P2MA069"",1972,2], [""CIENCIAS NATURALES"",""H1972P3CI070"",1972,3], [""CIENCIAS NATURALES-CIENCIAS SOCIALES"",""H1972P3CI071"",1972,3], [""CIENCIAS SOCIALES"",""H1972P3CI072"",1972,3], [""ESPAÑOL"",""H1972P3ES073"",1972,3], [""ESPAÑOL LECTURAS"",""H1972P3ES074"",1972,3], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P3ES075"",1972,3], [""MATEMÁTICAS"",""H1972P3MA076"",1972,3], [""CIENCIAS NATURALES"",""H1972P4",
CN46_DISCOVERY_0.1,1972,4,Ciencias Naturales,H1972P4MA083,https://historico.conaliteg.gob.mx/H1972P4MA083.htm,200,https://historico.conaliteg.gob.mx/H1972P4MA083.htm,text/html,MATEMÁTICAS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"2P2ES067"",1972,2], [""ESPAÑOL LECTURA"",""H1972P2ES068"",1972,2], [""MATEMÁTICAS"",""H1972P2MA069"",1972,2], [""CIENCIAS NATURALES"",""H1972P3CI070"",1972,3], [""CIENCIAS NATURALES-CIENCIAS SOCIALES"",""H1972P3CI071"",1972,3], [""CIENCIAS SOCIALES"",""H1972P3CI072"",1972,3], [""ESPAÑOL"",""H1972P3ES073"",1972,3], [""ESPAÑOL LECTURAS"",""H1972P3ES074"",1972,3], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P3ES075"",1972,3], [""MATEMÁTICAS"",""H1972P3MA076"",1972,3], [""CIENCIAS NATURALES"",""H1972P4CI077"",1972,4], [""CIENCIAS SOCIALES"",""H",
CN46_DISCOVERY_0.1,1972,6,Ciencias Naturales,H1972P6CI090,https://historico.conaliteg.gob.mx/H1972P6CI090.htm,200,https://historico.conaliteg.gob.mx/H1972P6CI090.htm,text/html,CIENCIAS NATURALES Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,verified_title,"LECTURAS"",""H1972P3ES074"",1972,3], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P3ES075"",1972,3], [""MATEMÁTICAS"",""H1972P3MA076"",1972,3], [""CIENCIAS NATURALES"",""H1972P4CI077"",1972,4], [""CIENCIAS SOCIALES"",""H1972P4CI078"",1972,4], [""ESPAÑOL EJERCICIOS"",""H1972P4ES080"",1972,4], [""ESPAÑOL LECTURAS"",""H1972P4ES081"",1972,4], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P4ES082"",1972,4], [""MATEMÁTICAS"",""H1972P4MA083"",1972,4], [""CIENCIAS NATURALES"",""H1972P5CI084"",1972,5], [""CIENCIAS SOCIALES"",""H1972P5CI085"",1972,5], [""",
CN46_DISCOVERY_0.1,1972,6,Ciencias Naturales,H1972P6CI091,https://historico.conaliteg.gob.mx/H1972P6CI091.htm,200,https://historico.conaliteg.gob.mx/H1972P6CI091.htm,text/html,CIENCIAS SOCIALES Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"JERCICIOS Y LECTURAS"",""H1972P3ES075"",1972,3], [""MATEMÁTICAS"",""H1972P3MA076"",1972,3], [""CIENCIAS NATURALES"",""H1972P4CI077"",1972,4], [""CIENCIAS SOCIALES"",""H1972P4CI078"",1972,4], [""ESPAÑOL EJERCICIOS"",""H1972P4ES080"",1972,4], [""ESPAÑOL LECTURAS"",""H1972P4ES081"",1972,4], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P4ES082"",1972,4], [""MATEMÁTICAS"",""H1972P4MA083"",1972,4], [""CIENCIAS NATURALES"",""H1972P5CI084"",1972,5], [""CIENCIAS SOCIALES"",""H1972P5CI085"",1972,5], [""ESPAÑOL EJERCICIOS"",""H1972P5ES086"",1972,5], [",
CN46_DISCOVERY_0.1,1972,6,Ciencias Naturales,H1972P6ES092,https://historico.conaliteg.gob.mx/H1972P6ES092.htm,200,https://historico.conaliteg.gob.mx/H1972P6ES092.htm,text/html,ESPAÑOL EJERCICIOS Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"[""MATEMÁTICAS"",""H1972P3MA076"",1972,3], [""CIENCIAS NATURALES"",""H1972P4CI077"",1972,4], [""CIENCIAS SOCIALES"",""H1972P4CI078"",1972,4], [""ESPAÑOL EJERCICIOS"",""H1972P4ES080"",1972,4], [""ESPAÑOL LECTURAS"",""H1972P4ES081"",1972,4], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P4ES082"",1972,4], [""MATEMÁTICAS"",""H1972P4MA083"",1972,4], [""CIENCIAS NATURALES"",""H1972P5CI084"",1972,5], [""CIENCIAS SOCIALES"",""H1972P5CI085"",1972,5], [""ESPAÑOL EJERCICIOS"",""H1972P5ES086"",1972,5], [""ESPAÑOL"",""H1972P5ES087"",1972,5], [""ESPAÑOL LE",
CN46_DISCOVERY_0.1,1972,6,Ciencias Naturales,H1972P6ES093,https://historico.conaliteg.gob.mx/H1972P6ES093.htm,200,https://historico.conaliteg.gob.mx/H1972P6ES093.htm,text/html,ESPAÑOL LECTURAS Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,0,reachable_unconfirmed,"NCIAS NATURALES"",""H1972P4CI077"",1972,4], [""CIENCIAS SOCIALES"",""H1972P4CI078"",1972,4], [""ESPAÑOL EJERCICIOS"",""H1972P4ES080"",1972,4], [""ESPAÑOL LECTURAS"",""H1972P4ES081"",1972,4], [""ESPAÑOL EJERCICIOS Y LECTURAS"",""H1972P4ES082"",1972,4], [""MATEMÁTICAS"",""H1972P4MA083"",1972,4], [""CIENCIAS NATURALES"",""H1972P5CI084"",1972,5], [""CIENCIAS SOCIALES"",""H1972P5CI085"",1972,5], [""ESPAÑOL EJERCICIOS"",""H1972P5ES086"",1972,5], [""ESPAÑOL"",""H1972P5ES087"",1972,5], [""ESPAÑOL LECTURAS"",""H1972P5ES088"",1972,5], [""MATEMÁTICA",
