audit_version,viewer_page,position_quartile,words_1972,words_1988,normalized_ocr_sha256_1972,normalized_ocr_sha256_1988,normalized_ocr_identical,char_sequence_similarity,token_sequence_similarity,token_set_jaccard,similarity_class
CN4_72_88_TEXTSIM_0.1,1,Q1,0,6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d17bf3dcddab1cbdaebf17b60b52134a9520f634272aae489cd14a74a0ab4e9f,0,0.000000,0.000000,0.000000,different_or_sparse
CN4_72_88_TEXTSIM_0.1,2,Q1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,1.000000,1.000000,1.000000,near_same_text
CN4_72_88_TEXTSIM_0.1,3,Q1,4,4,bd15b45636013fe27b5d72bff6ddfefe76fe4a3db6b36bc85aab354ae8827299,bd15b45636013fe27b5d72bff6ddfefe76fe4a3db6b36bc85aab354ae8827299,1,1.000000,1.000000,1.000000,near_same_text
CN4_72_88_TEXTSIM_0.1,4,Q1,129,137,0d77b2c5521e759a4586f3eaf063c591b3a7f9bab0e7af6ef6310ba2f7013872,988cd1e5bc62a7b967309705fb720aa520ff35ecba2436d339f0bc009703d15d,0,0.943644,0.917293,0.804348,substantial_overlap
CN4_72_88_TEXTSIM_0.1,5,Q1,162,168,17f37a79da8cad7c4c386e172259a2906304d4a846e8e897dc595604330e7519,602bd9d75ba2344b2bf2b04cb038ce0f7f9abdef40d1fde7e1c5ee6e4317cf9a,0,0.980226,0.939394,0.862903,substantial_overlap
CN4_72_88_TEXTSIM_0.1,96,Q2,68,69,63f91f6dc50534ad82d46a6710858683eabd80a01c0d8605ecb7c69de87cdde4,5af41b50d1c65e6e4a63448bef26adca870aff2da240c547b7c9b7847c770e59,0,0.988048,0.934307,0.898305,substantial_overlap
CN4_72_88_TEXTSIM_0.1,97,Q2,7,9,95cf077b5887dc25b7e83597120dfe8c8cfdb2063894c97d08f173f3ed205421,a0db7101c90fdb5a733815421ba01dfb36967ad9c11d2f55f55cb7e828d37cd3,0,0.869565,0.750000,0.600000,substantial_overlap
CN4_72_88_TEXTSIM_0.1,98,Q2,73,74,d4b0203d0025d4442f68a5fd4e678cc7c31beeafb2cff4a83ac4011c90557d4e,803c5c3169b7de3b8f2d61a86ada1d9f892d8e548fdbce5e7a9265e8b65b5894,0,0.993820,0.938776,0.890625,substantial_overlap
CN4_72_88_TEXTSIM_0.1,99,Q2,70,70,511b31f7bf95d6b41fe93ef1ecfabe94c9070f57640e89680c1ab6e62a37cc4c,185bdde34818ae7c9c7406c2ca5ab48e36ef7af86b5518c6c5af5f978dad1965,0,0.985755,0.957143,0.920000,near_same_text
CN4_72_88_TEXTSIM_0.1,192,Q4,119,117,8bd5bef28506f9ce0ca2d05533e9a8b65632fa3334f17e2d6a1e1dbd54080836,550b2c627c8190b26ee06a1ad989c0372d62e33a52b7fdab83cc36a0bd58958b,0,0.995115,0.966102,0.947368,near_same_text
