diff_version,viewer_page,page_a,page_b,sha_a,sha_b,bytes_a,bytes_b,position_quartile,byte_delta
CN4_72_88_DIFF_0.1,1,LTMD-CN4-G1972-VP001,LTMD-CN4-G1988-VP001,bf521c8c77407f54c9ad3d4e335e124574be4ea73b6ac41f560501896ec4983c,525229ae4b77108e8e3f9eb4b3071e0ebd43309a6ea38263b04564b1d85a5724,173203,249320,Q1,76117
CN4_72_88_DIFF_0.1,2,LTMD-CN4-G1972-VP002,LTMD-CN4-G1988-VP002,009f6618b2807a0a70497cbe294e0ed63d8b368661897d32ce59322b809a255a,b0e1badc7cb71e200c1dc26ad4ab710968c668c1e15e819fa306082a1064a506,16848,17505,Q1,657
CN4_72_88_DIFF_0.1,3,LTMD-CN4-G1972-VP003,LTMD-CN4-G1988-VP003,6a05010770942dba94a7ab35f9f0e6896976299359247989ac6e2e3e024d3157,9ef6dae78dc53c8c415091aab54e81f38b346da2a017e176453f0688f203fcb7,20976,22386,Q1,1410
CN4_72_88_DIFF_0.1,4,LTMD-CN4-G1972-VP004,LTMD-CN4-G1988-VP004,e262cd1c011aa5033246227b7aec90e260748623b95a40b6c811d572d8883f25,9092346693ccc673d9da274b86a8a0bfeb7096b915ae54c45be33fb559aac3df,40126,43818,Q1,3692
CN4_72_88_DIFF_0.1,5,LTMD-CN4-G1972-VP005,LTMD-CN4-G1988-VP005,c1a7e0c3a7b5516b14086077ddf0065daee8dbfe7be2b2344d0427c9d23b22cb,f0a9c0c4873dcd00e68a267a813c5e86f30617c0bf1e52d465001112f593e22a,41365,46644,Q1,5279
CN4_72_88_DIFF_0.1,96,LTMD-CN4-G1972-VP096,LTMD-CN4-G1988-VP096,1cf82341c86b9f0aa9b11ed41193c3915070c3c5af181bd194ad683abc5bac24,2800f03af9282b98046d823d8d015ca3de90e67e6b2ef5a74af794c053bd723f,39667,39763,Q2,96
CN4_72_88_DIFF_0.1,97,LTMD-CN4-G1972-VP097,LTMD-CN4-G1988-VP097,56ab33832ad41ef1efcfdf938b72ae5a7271965faf8ea47e8264f5717e46eed4,bff7a9c9a137774b0aaf7d2b2a29aae54557040bf20cfb895b809d900cd32958,39146,37326,Q2,-1820
CN4_72_88_DIFF_0.1,98,LTMD-CN4-G1972-VP098,LTMD-CN4-G1988-VP098,44dca4fb6e9af31aa81c2ca3bb2c6590d56688ea2c36b88722d3eed083a998f7,a42fc71282b5fe97f434af8c4bb007c8fdcc061e58ef62cad296b3e1c6b99f69,38203,40865,Q2,2662
CN4_72_88_DIFF_0.1,99,LTMD-CN4-G1972-VP099,LTMD-CN4-G1988-VP099,12a024279aa9f6a14fa7dfa6e9a132ed916f378c53f0b87bbfcfd75b7afa71d3,0c2bbf78e8f6ec85b15508702c5f760d8bb7f0b291cdfb4a7630e3a937524abf,45786,46414,Q2,628
CN4_72_88_DIFF_0.1,192,LTMD-CN4-G1972-VP192,LTMD-CN4-G1988-VP192,51f9baab667bb4fbf04459c55f9870cdb8a7c922de6c3da8e47c8f57e3d9b5c3,49164ac638f1e92ef89544e6f671e8e5593befe8e71e029528eb8c691039d949,52238,54167,Q4,1929
