segmenter_version,book_id,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_CN_WAVE2_0.1,LTMD-CN1-G1972,205,60,0,0,1,9,5,0,21,169
FRAGSEG_CN_WAVE2_0.1,LTMD-CN2-G1972,234,63,0,0,1,20,8,0,88,117
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G1972,814,129,1,0,14,103,79,0,226,391
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G1982,1165,148,15,0,15,199,177,0,228,531
FRAGSEG_CN_WAVE2_0.1,LTMD-CN4-G1982,1455,188,15,0,22,216,195,0,500,507
FRAGSEG_CN_WAVE2_0.1,LTMD-CN5-G1982,2809,209,19,0,26,443,410,0,1055,856
FRAGSEG_CN_WAVE2_0.1,LTMD-CN6-G1982,1462,145,16,0,20,277,186,0,443,520
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G1988,1289,152,15,0,16,218,182,0,265,593
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G1993,1959,152,49,0,13,297,249,7,351,993
FRAGSEG_CN_WAVE2_0.1,LTMD-CN5-G2008,2269,122,130,15,28,292,279,32,213,1280
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G2011,2221,118,79,21,34,253,265,52,278,1239
FRAGSEG_CN_WAVE2_0.1,LTMD-CN4-G2011,2252,127,87,19,22,283,289,40,263,1249
FRAGSEG_CN_WAVE2_0.1,LTMD-CN5-G2011,2300,120,101,17,33,298,319,37,252,1243
FRAGSEG_CN_WAVE2_0.1,LTMD-CN6-G2011,2900,147,95,19,41,400,424,40,350,1531
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G2014,2190,122,88,23,34,271,272,51,267,1184
FRAGSEG_CN_WAVE2_0.1,LTMD-CN3-G2019,2144,120,86,23,33,260,272,51,269,1150
FRAGSEG_CN_WAVE2_0.1,LTMD-CN4-G2019,2434,130,85,19,25,311,310,39,258,1387
FRAGSEG_CN_WAVE2_0.1,LTMD-CN5-G2019,2650,122,103,17,31,299,330,40,269,1561
FRAGSEG_CN_WAVE2_0.1,LTMD-CN6-G2019,3443,154,112,18,37,448,469,43,394,1922
FRAGSEG_CN_WAVE2_0.1,ALL,36195,2528,1096,191,446,4897,4720,432,5990,18423
