wave_version,book_id,viewer_key,catalog_generation,grade,viewer_positions_declared,source_assets,source_url,technical_stage,semantic_stage
CN_WAVE2_INGESTION_0.1,LTMD-CN1-G1972,H1972P1CI058,1972,1,99,98,https://historico.conaliteg.gob.mx/H1972P1CI058.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN2-G1972,H1972P2CI064,1972,2,99,98,https://historico.conaliteg.gob.mx/H1972P2CI064.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G1972,H1972P3CI070,1972,3,147,146,https://historico.conaliteg.gob.mx/H1972P3CI070.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G1982,H1982P3CI103,1982,3,179,178,https://historico.conaliteg.gob.mx/H1982P3CI103.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN4-G1982,H1982P4CI383,1982,4,215,214,https://historico.conaliteg.gob.mx/H1982P4CI383.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN5-G1982,H1982P5CI389,1982,5,259,258,https://historico.conaliteg.gob.mx/H1982P5CI389.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN6-G1982,H1982P6CI395,1982,6,211,210,https://historico.conaliteg.gob.mx/H1982P6CI395.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G1988,H1988P3CI129,1988,3,179,178,https://historico.conaliteg.gob.mx/H1988P3CI129.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G1993,H1993P3CI153,1993,3,179,178,https://historico.conaliteg.gob.mx/H1993P3CI153.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN5-G2008,H2008P5CI277,2008,5,163,162,https://historico.conaliteg.gob.mx/H2008P5CI277.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G2011,H2011P3CI307,2011,3,154,153,https://historico.conaliteg.gob.mx/H2011P3CI307.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN4-G2011,H2011P4CI314,2011,4,162,161,https://historico.conaliteg.gob.mx/H2011P4CI314.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN5-G2011,H2011P5CI325,2011,5,162,161,https://historico.conaliteg.gob.mx/H2011P5CI325.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN6-G2011,H2011P6CI335,2011,6,178,177,https://historico.conaliteg.gob.mx/H2011P6CI335.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G2014,H2014P3CNA,2014,3,154,153,https://historico.conaliteg.gob.mx/H2014P3CNA.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN3-G2019,H2019P3CNA,2019,3,154,153,https://historico.conaliteg.gob.mx/H2019P3CNA.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN4-G2019,H2019P4CNA,2019,4,162,161,https://historico.conaliteg.gob.mx/H2019P4CNA.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN5-G2019,H2019P5CNA,2019,5,162,161,https://historico.conaliteg.gob.mx/H2019P5CNA.htm,ready_for_ocr,blocked_pending_human_validation
CN_WAVE2_INGESTION_0.1,LTMD-CN6-G2019,H2019P6CNA,2019,6,178,177,https://historico.conaliteg.gob.mx/H2019P6CNA.htm,ready_for_ocr,blocked_pending_human_validation
