ocr_version,book_id,catalog_generation,grade,source_pages,sha_verified,text_detected,no_text_detected,unresolved,psm3,psm11,psm6
CN_WAVE2_OCR_0.1,LTMD-CN1-G1972,1972,1,98,98,98,0,0,78,4,16
CN_WAVE2_OCR_0.1,LTMD-CN2-G1972,1972,2,98,98,96,2,0,80,7,9
CN_WAVE2_OCR_0.1,LTMD-CN3-G1972,1972,3,146,146,146,0,0,134,4,8
CN_WAVE2_OCR_0.1,LTMD-CN3-G1982,1982,3,178,178,178,0,0,161,3,14
CN_WAVE2_OCR_0.1,LTMD-CN4-G1982,1982,4,214,214,214,0,0,201,5,8
CN_WAVE2_OCR_0.1,LTMD-CN5-G1982,1982,5,258,258,258,0,0,225,5,28
CN_WAVE2_OCR_0.1,LTMD-CN6-G1982,1982,6,210,210,209,1,0,172,5,32
CN_WAVE2_OCR_0.1,LTMD-CN3-G1988,1988,3,178,178,178,0,0,168,1,9
CN_WAVE2_OCR_0.1,LTMD-CN3-G1993,1993,3,178,178,178,0,0,168,3,7
CN_WAVE2_OCR_0.1,LTMD-CN5-G2008,2008,5,162,162,160,2,0,146,5,9
CN_WAVE2_OCR_0.1,LTMD-CN3-G2011,2011,3,153,153,152,1,0,143,1,8
CN_WAVE2_OCR_0.1,LTMD-CN4-G2011,2011,4,161,161,161,0,0,151,2,8
CN_WAVE2_OCR_0.1,LTMD-CN5-G2011,2011,5,161,161,158,3,0,142,2,14
CN_WAVE2_OCR_0.1,LTMD-CN6-G2011,2011,6,177,177,177,0,0,169,2,6
CN_WAVE2_OCR_0.1,LTMD-CN3-G2014,2014,3,153,153,153,0,0,141,2,10
CN_WAVE2_OCR_0.1,LTMD-CN3-G2019,2019,3,153,153,153,0,0,142,0,11
CN_WAVE2_OCR_0.1,LTMD-CN4-G2019,2019,4,161,161,160,1,0,151,1,8
CN_WAVE2_OCR_0.1,LTMD-CN5-G2019,2019,5,161,161,159,2,0,141,2,16
CN_WAVE2_OCR_0.1,LTMD-CN6-G2019,2019,6,177,177,176,1,0,169,0,7
