book_id,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
LTMD-CN1-G1972,98,2,58,19,0,0,4,15
LTMD-CN2-G1972,98,1,62,20,0,0,1,14
LTMD-CN3-G1972,146,6,123,10,0,1,1,5
LTMD-CN3-G1982,178,27,121,20,0,0,2,8
LTMD-CN3-G1988,178,40,112,11,0,2,2,11
LTMD-CN3-G1993,178,110,42,10,0,6,3,7
LTMD-CN3-G2011,153,91,27,12,0,13,5,5
LTMD-CN3-G2014,153,99,23,11,0,11,6,3
LTMD-CN3-G2019,153,97,23,10,0,11,7,5
LTMD-CN4-G1982,214,45,143,13,0,1,2,10
LTMD-CN4-G2011,161,93,34,9,0,12,6,7
LTMD-CN4-G2019,161,102,28,10,0,13,6,2
LTMD-CN5-G1982,258,155,54,33,0,2,4,10
LTMD-CN5-G2008,162,91,31,18,0,9,5,8
LTMD-CN5-G2011,161,94,26,19,0,11,5,6
LTMD-CN5-G2019,161,98,24,20,0,11,6,2
LTMD-CN6-G1982,210,76,69,40,1,2,2,20
LTMD-CN6-G2011,177,111,36,8,0,7,6,9
LTMD-CN6-G2019,177,121,33,7,0,6,7,3
ALL,3177,1459,1069,300,1,118,80,150
