scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP001,LTMD-CN1-G1972,1972,1,1,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP002,LTMD-CN1-G1972,1972,1,2,3,1,1,0,0,0,2,1,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP003,LTMD-CN1-G1972,1972,1,3,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP004,LTMD-CN1-G1972,1972,1,4,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP005,LTMD-CN1-G1972,1972,1,5,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP006,LTMD-CN1-G1972,1972,1,6,6,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP007,LTMD-CN1-G1972,1972,1,7,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP008,LTMD-CN1-G1972,1972,1,8,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP009,LTMD-CN1-G1972,1972,1,9,6,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP010,LTMD-CN1-G1972,1972,1,10,11,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP011,LTMD-CN1-G1972,1972,1,11,3,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP012,LTMD-CN1-G1972,1972,1,12,11,1,1,0,0,0,0,0,
CN_WAVE2_STRUCTKW_0.1,LTMD-CN1-G1972-VP013,LTMD-CN1-G1972,1972,1,13,3,1,1,0,0,0,0,0,
