generation,broad_pages_per_1000,explicit_pages_per_1000,explicit_share_of_broad_pct,interpretive_note
1960,3.68,0.57,15.5,"low presence; plurality with Spanish centrality"
1966,4.64,1.65,35.6,"linguistic maps and classification; persistence"
1972,2.85,0.43,15.1,"national and cultural integration"
1982,2.73,1.82,66.7,"activities on the languages of Mexico"
1988,3.60,1.71,47.5,"cultural enrichment and plurality"
1993,17.64,3.32,18.8,"territorial/census jump; state monographs"
2008,15.30,10.25,67.0,"pedagogical turn and explicit diversity"
2011,15.24,11.30,74.1,"highest relative density of explicit discourse"
2014,27.63,9.60,34.7,"broad peak; state diversity and risk"
2018,7.65,1.46,19.1,"low rate conditioned by corpus composition"
2019,14.53,8.82,60.7,"renewed explicit diversity/rights discourse"
