generation,total_pages,broad_candidate_pages,explicit_general_pages,named_language_contextual_pages,broad_pages_per_1000,explicit_pages_per_1000,named_context_pages_per_1000
1960,3536,23,2,21,6.5045,0.5656,5.9389
1966,6680,43,12,34,6.4371,1.7964,5.0898
1972,7020,28,3,25,3.9886,0.4274,3.5613
1982,3292,8,5,3,2.4301,1.5188,0.9113
1988,5274,22,8,16,4.1714,1.5169,3.0338
1993,21708,367,64,331,16.9062,2.9482,15.2478
2008,6538,105,67,56,16.0600,10.2478,8.5653
2011,7611,124,87,51,16.2922,11.4308,6.7008
2014,13752,280,131,212,20.3607,9.5259,15.4159
2018,2744,25,4,24,9.1108,1.4577,8.7464
2019,8394,126,74,86,15.0107,8.8158,10.2454
