language_group,generation,candidate_pages,books_with_presence,total_generation_pages,pages_per_1000_generation_pages
Náhuatl,1960,9,4,3536,2.5452
Náhuatl,1966,13,7,6680,1.9461
Náhuatl,1972,6,4,7020,0.8547
Náhuatl,1988,4,3,5274,0.7584
Náhuatl,1993,140,48,21708,6.4492
Náhuatl,2008,32,13,6538,4.8945
Náhuatl,2011,22,12,7611,2.8906
Náhuatl,2014,88,35,13752,6.3991
Náhuatl,2018,9,4,2744,3.2799
Náhuatl,2019,37,15,8394,4.4079
Maya,1960,3,2,3536,0.8484
Maya,1966,12,6,6680,1.7964
Maya,1972,9,8,7020,1.2821
Maya,1982,2,2,3292,0.6075
Maya,1988,8,6,5274,1.5169
Maya,1993,105,32,21708,4.8369
Maya,2008,18,9,6538,2.7531
Maya,2011,19,11,7611,2.4964
Maya,2014,72,18,13752,5.2356
Maya,2018,1,1,2744,0.3644
Maya,2019,17,8,8394,2.0253
Zapoteco,1960,4,4,3536,1.1312
Zapoteco,1966,7,6,6680,1.0479
Zapoteco,1972,7,5,7020,0.9972
Zapoteco,1982,1,1,3292,0.3038
Zapoteco,1988,5,3,5274,0.9480
Zapoteco,1993,26,16,21708,1.1977
Zapoteco,2008,11,8,6538,1.6825
Zapoteco,2011,9,6,7611,1.1825
Zapoteco,2014,21,14,13752,1.5271
Zapoteco,2019,9,7,8394,1.0722
Mixteco,1960,3,3,3536,0.8484
Mixteco,1966,5,4,6680,0.7485
Mixteco,1972,5,3,7020,0.7123
Mixteco,1993,22,13,21708,1.0135
Mixteco,2008,9,6,6538,1.3766
Mixteco,2011,6,5,7611,0.7883
Mixteco,2014,28,16,13752,2.0361
Mixteco,2019,10,6,8394,1.1913
Purépecha / tarasco,1960,4,3,3536,1.1312
Purépecha / tarasco,1966,6,4,6680,0.8982
Purépecha / tarasco,1993,34,15,21708,1.5662
Purépecha / tarasco,2011,3,3,7611,0.3942
Purépecha / tarasco,2014,12,5,13752,0.8726
Purépecha / tarasco,2018,10,2,2744,3.6443
Purépecha / tarasco,2019,14,5,8394,1.6679
Otomí,1966,2,1,6680,0.2994
Otomí,1972,2,2,7020,0.2849
Otomí,1988,1,1,5274,0.1896
Otomí,1993,16,12,21708,0.7371
Otomí,2008,3,2,6538,0.4589
Otomí,2011,2,2,7611,0.2628
Otomí,2014,23,11,13752,1.6725
Otomí,2019,5,3,8394,0.5957
Huasteco / teenek,1993,32,11,21708,1.4741
Huasteco / teenek,2008,2,1,6538,0.3059
Huasteco / teenek,2011,4,3,7611,0.5256
Huasteco / teenek,2014,22,9,13752,1.5998
Huasteco / teenek,2019,5,4,8394,0.5957
Tarahumara / rarámuri,1966,3,2,6680,0.4491
Tarahumara / rarámuri,1993,12,8,21708,0.5528
Tarahumara / rarámuri,2008,8,5,6538,1.2236
Tarahumara / rarámuri,2011,2,2,7611,0.2628
Tarahumara / rarámuri,2014,10,8,13752,0.7272
Tarahumara / rarámuri,2019,7,6,8394,0.8339
Cora / náayeri,1960,1,1,3536,0.2828
Cora / náayeri,1966,1,1,6680,0.1497
Cora / náayeri,1988,2,1,5274,0.3792
Cora / náayeri,1993,11,7,21708,0.5067
Cora / náayeri,2008,3,3,6538,0.4589
Cora / náayeri,2011,2,2,7611,0.2628
Cora / náayeri,2014,5,4,13752,0.3636
Cora / náayeri,2019,3,3,8394,0.3574
Mayo / yoreme,1960,3,3,3536,0.8484
Mayo / yoreme,1966,4,4,6680,0.5988
Mayo / yoreme,1972,3,3,7020,0.4274
Mayo / yoreme,1988,2,2,5274,0.3792
Mayo / yoreme,1993,28,18,21708,1.2898
Mayo / yoreme,2008,3,3,6538,0.4589
Mayo / yoreme,2011,6,5,7611,0.7883
Mayo / yoreme,2014,12,7,13752,0.8726
Mayo / yoreme,2018,5,5,2744,1.8222
Mayo / yoreme,2019,7,7,8394,0.8339
Yaqui,1972,4,2,7020,0.5698
Yaqui,1988,2,1,5274,0.3792
Yaqui,1993,13,3,21708,0.5989
Yaqui,2011,2,2,7611,0.2628
Yaqui,2014,12,7,13752,0.8726
Yaqui,2019,6,6,8394,0.7148
Tseltal / tzeltal,1993,7,2,21708,0.3225
Tseltal / tzeltal,2008,2,2,6538,0.3059
Tseltal / tzeltal,2011,2,2,7611,0.2628
Tseltal / tzeltal,2014,10,8,13752,0.7272
Tseltal / tzeltal,2019,4,4,8394,0.4765
