generation,material_type,paraphrased_candidate_observation,preliminary_code,validation_status
1960,"Geografía","Recognizes numerous Indigenous languages while contrasting them with the centrality of Spanish as official/majority language","subordination / national language","candidate_not_visually_validated_in_public_ledger"
1966,"Geografía / materiales integrados","Includes a linguistic map listing several languages, including maya, mixteco, zapoteco, tarasco, nahua, otomí and tarahumara","territorial classification","candidate_not_visually_validated_in_public_ledger"
1972,"Ciencias Sociales","Places speakers of Spanish and Indigenous languages within the same national community","national integration","candidate_not_visually_validated_in_public_ledger"
1982,"Ciencias Sociales","Activity on the languages of Mexico connects lexical loans to Spanish and consultation with family or neighbors","valuation / pedagogy","candidate_not_visually_validated_in_public_ledger"
1988,"material social/lingüístico","Presents the existence of many Indigenous languages as enriching national linguistic culture","cultural plurality","candidate_not_visually_validated_in_public_ledger"
1993,"monografías estatales","State monographs quantify speakers, languages, bilingualism and territorial distribution","territorialization / census","candidate_not_visually_validated_in_public_ledger"
2008,"Español","Projects ask students to investigate local linguistic diversity and work with words, poems, songs or riddles","pedagogical turn","candidate_not_visually_validated_in_public_ledger"
2011,"Español / proyectos","In a speaker community, a project allows an informational note to be produced in the Indigenous language to broaden dissemination","functional use / legitimation","candidate_not_visually_validated_in_public_ledger"
2014,"La entidad donde vivo","Describes state linguistic diversity and in some cases risk of disappearance","diversity / risk","candidate_not_visually_validated_in_public_ledger"
2018-2019,"materiales recientes","References include origin languages, intercultural education, national languages and linguistic discrimination","rights / preservation","candidate_not_visually_validated_in_public_ledger"
