sample_id,sample_type,catalog_generation,page_id,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,source_asset_url,selection_reason,target_reference_words,reference_status,second_review_status
LTMD-STRESS-1972-01,supplementary_ocr_stress,1972,LTMD-CN5-G1972-VP066,66,11,7,25.02,1.0000,https://historico.conaliteg.gob.mx/c/H1972P5CI084/066.jpg,fallback_psm11_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1972-02,supplementary_ocr_stress,1972,LTMD-CN5-G1972-VP200,200,6,40,29.63,0.9750,https://historico.conaliteg.gob.mx/c/H1972P5CI084/200.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1972-03,supplementary_ocr_stress,1972,LTMD-CN5-G1972-VP009,9,6,30,32.34,0.9667,https://historico.conaliteg.gob.mx/c/H1972P5CI084/009.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1988-01,supplementary_ocr_stress,1988,LTMD-CN5-G1988-VP045,45,6,228,26.97,0.9693,https://historico.conaliteg.gob.mx/c/H1988P5CI123/045.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1988-02,supplementary_ocr_stress,1988,LTMD-CN5-G1988-VP001,1,6,115,25.93,0.9652,https://historico.conaliteg.gob.mx/c/H1988P5CI123/000.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1988-03,supplementary_ocr_stress,1988,LTMD-CN5-G1988-VP117,117,6,181,51.86,0.5525,https://historico.conaliteg.gob.mx/c/H1988P5CI123/117.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1993-01,supplementary_ocr_stress,1993,LTMD-CN5-G1993-VP177,177,11,10,61.10,0.5000,https://historico.conaliteg.gob.mx/c/H1993P5CI200/177.jpg,fallback_psm11_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1993-02,supplementary_ocr_stress,1993,LTMD-CN5-G1993-VP118,118,6,29,27.65,0.9310,https://historico.conaliteg.gob.mx/c/H1993P5CI200/118.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-1993-03,supplementary_ocr_stress,1993,LTMD-CN5-G1993-VP154,154,6,123,30.11,0.9268,https://historico.conaliteg.gob.mx/c/H1993P5CI200/154.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-2014-01,supplementary_ocr_stress,2014,LTMD-CN5-G2014-VP128,128,11,62,33.24,0.8871,https://historico.conaliteg.gob.mx/c/H2014P5CNA/128.jpg,fallback_psm11_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-2014-02,supplementary_ocr_stress,2014,LTMD-CN5-G2014-VP088,88,6,107,27.34,0.9346,https://historico.conaliteg.gob.mx/c/H2014P5CNA/088.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
LTMD-STRESS-2014-03,supplementary_ocr_stress,2014,LTMD-CN5-G2014-VP056,56,6,45,23.10,0.9333,https://historico.conaliteg.gob.mx/c/H2014P5CNA/056.jpg,fallback_psm6_outside_primary_ranked_by_difficulty,120,pending,pending
